,symbol,baseCoin,quoteCoin,status
124,BUSDT,B,USDT,Trading
125,C98USDT,C98,USDT,Trading
126,CAKEUSDT,CAKE,USDT,Trading
127,CARVUSDT,CARV,USDT,Trading
128,CATIUSDT,CATI,USDT,Trading
129,CELOUSDT,CELO,USDT,Trading
130,CELRUSDT,CELR,USDT,Trading
131,CETUSUSDT,CETUS,USDT,Trading
132,CFXUSDT,CFX,USDT,Trading
133,CGPTUSDT,CGPT,USDT,Trading
134,CHESSUSDT,CHESS,USDT,Trading
135,CHILLGUYUSDT,CHILLGUY,USDT,Trading
136,CHZUSDT,CHZ,USDT,Trading
137,CLANKERUSDT,CLANKER,USDT,Trading
138,CLOUDUSDT,CLOUD,USDT,Trading
139,COMPUSDT,COMP,USDT,Trading
140,COOKIEUSDT,COOKIE,USDT,Trading
141,COOKUSDT,COOK,USDT,Trading
142,COREUSDT,CORE,USDT,Trading
143,COSUSDT,COS,USDT,Trading
144,COTIUSDT,COTI,USDT,Trading
145,COWUSDT,COW,USDT,Trading
146,CPOOLUSDT,CPOOL,USDT,Trading
147,CROUSDT,CRO,USDT,Trading
148,CRVPERP,CRV,USDC,Trading
149,CRVUSDT,CRV,USDT,Trading
150,CTKUSDT,CTK,USDT,Trading
151,CTSIUSDT,CTSI,USDT,Trading
152,CUDISUSDT,CUDIS,USDT,Trading
153,CVCUSDT,CVC,USDT,Trading
154,CVXUSDT,CVX,USDT,Trading
155,DARKUSDT,DARK,USDT,Trading
156,DASHUSDT,DASH,USDT,Trading
157,DBRUSDT,DBR,USDT,Trading
158,DEEPUSDT,DEEP,USDT,Trading
159,DEGENUSDT,DEGEN,USDT,Trading
160,DENTUSDT,DENT,USDT,Trading
161,DEXEUSDT,DEXE,USDT,Trading
162,DGBUSDT,DGB,USDT,Trading
163,DODOUSDT,DODO,USDT,Trading
164,DOGEPERP,DOGE,USDC,Trading
165,DOGEUSDT,DOGE,USDT,Trading
166,DOGSUSDT,DOGS,USDT,Trading
167,DOGUSDT,DOG,USDT,Trading
168,DOODUSDT,DOOD,USDT,Trading
169,DOTPERP,DOT,USDC,Trading
170,DOTUSDT,DOT,USDT,Trading
171,DRIFTUSDT,DRIFT,USDT,Trading
172,DUCKUSDT,DUCK,USDT,Trading
173,DUSKUSDT,DUSK,USDT,Trading
174,DYDXUSDT,DYDX,USDT,Trading
175,DYMUSDT,DYM,USDT,Trading
176,EDUUSDT,EDU,USDT,Trading
177,EGLDUSDT,EGLD,USDT,Trading
178,ELXUSDT,ELX,USDT,Trading
179,ENAPERP,ENA,USDC,Trading
180,ENAUSDT,ENA,USDT,Trading
181,ENJUSDT,ENJ,USDT,Trading
182,ENSUSDT,ENS,USDT,Trading
183,EPICUSDT,EPIC,USDT,Trading
184,EPTUSDT,EPT,USDT,Trading
185,ETCUSDT,ETC,USDT,Trading
186,ETH-26DEC25,ETH,USDC,Trading
187,ETH-26SEP25,ETH,USDC,Trading
188,ETH-27JUN25,ETH,USDC,Trading
189,ETHBTCUSDT,ETHBTC,USDT,Trading
190,ETHFIPERP,ETHFI,USDC,Trading
191,ETHFIUSDT,ETHFI,USDT,Trading
192,ETHPERP,ETH,USDC,Trading
193,ETHUSDT,ETH,USDT,Trading
194,ETHUSDT-04JUL25,ETH,USDT,Trading
195,ETHUSDT-20JUN25,ETH,USDT,Trading
196,ETHUSDT-25JUL25,ETH,USDT,Trading
197,ETHUSDT-26DEC25,ETH,USDT,Trading
198,ETHUSDT-26SEP25,ETH,USDT,Trading
199,ETHUSDT-27JUN25,ETH,USDT,Trading
200,ETHUSDT-27MAR26,ETH,USDT,Trading
201,ETHUSDT-29AUG25,ETH,USDT,Trading
202,ETHWUSDT,ETHW,USDT,Trading
203,FARTCOINUSDT,FARTCOIN,USDT,Trading
204,FBUSDT,FB,USDT,Trading
205,FHEUSDT,FHE,USDT,Trading
206,FIDAUSDT,FIDA,USDT,Trading
207,FILUSDT,FIL,USDT,Trading
208,FIOUSDT,FIO,USDT,Trading
209,FLMUSDT,FLM,USDT,Trading
210,FLOCKUSDT,FLOCK,USDT,Trading
211,FLOWUSDT,FLOW,USDT,Trading
212,FLRUSDT,FLR,USDT,Trading
213,FLUXUSDT,FLUX,USDT,Trading
214,FORMUSDT,FORM,USDT,Trading
215,FORTHUSDT,FORTH,USDT,Trading
216,FTNUSDT,FTN,USDT,Trading
217,FUELUSDT,FUEL,USDT,Trading
218,FUSDT,F,USDT,Trading
219,FWOGUSDT,FWOG,USDT,Trading
220,FXSUSDT,FXS,USDT,Trading
221,GALAUSDT,GALA,USDT,Trading
222,GASUSDT,GAS,USDT,Trading
223,GIGAUSDT,GIGA,USDT,Trading
224,GLMRUSDT,GLMR,USDT,Trading
225,GLMUSDT,GLM,USDT,Trading
226,GMTUSDT,GMT,USDT,Trading
227,GMXUSDT,GMX,USDT,Trading
228,GNOUSDT,GNO,USDT,Trading
229,GOATUSDT,GOAT,USDT,Trading
230,GODSUSDT,GODS,USDT,Trading
231,GORKUSDT,GORK,USDT,Trading
232,GPSUSDT,GPS,USDT,Trading
233,GRIFFAINUSDT,GRIFFAIN,USDT,Trading
234,GRTUSDT,GRT,USDT,Trading
235,GUNUSDT,GUN,USDT,Trading
236,GUSDT,G,USDT,Trading
237,HAEDALUSDT,HAEDAL,USDT,Trading
238,HBARUSDT,HBAR,USDT,Trading
239,HEIUSDT,HEI,USDT,Trading
240,HFTUSDT,HFT,USDT,Trading
241,HIFIUSDT,HIFI,USDT,Trading
242,HIGHUSDT,HIGH,USDT,Trading
243,HIPPOUSDT,HIPPO,USDT,Trading
244,HIVEUSDT,HIVE,USDT,Trading
245,HMSTRUSDT,HMSTR,USDT,Trading
246,HNTUSDT,HNT,USDT,Trading
247,HOMEUSDT,HOME,USDT,Trading
248,HOOKUSDT,HOOK,USDT,Trading
249,HOTUSDT,HOT,USDT,Trading
250,HPOS10IUSDT,HPOS10I,USDT,Trading
251,HUMAUSDT,HUMA,USDT,Trading
252,HYPEPERP,HYPE,USDC,Trading
253,HYPERUSDT,HYPER,USDT,Trading
254,HYPEUSDT,HYPE,USDT,Trading
255,ICPUSDT,ICP,USDT,Trading
256,ICXUSDT,ICX,USDT,Trading
257,IDEXUSDT,IDEX,USDT,Trading
258,IDUSDT,ID,USDT,Trading
259,ILVUSDT,ILV,USDT,Trading
260,IMXUSDT,IMX,USDT,Trading
261,INITUSDT,INIT,USDT,Trading
262,INJUSDT,INJ,USDT,Trading
263,IOSTUSDT,IOST,USDT,Trading
264,IOTAUSDT,IOTA,USDT,Trading
265,IOTXUSDT,IOTX,USDT,Trading
266,IOUSDT,IO,USDT,Trading
267,IPUSDT,IP,USDT,Trading
268,JASMYUSDT,JASMY,USDT,Trading
269,JELLYJELLYUSDT,JELLYJELLY,USDT,Trading
270,JOEUSDT,JOE,USDT,Trading
271,JSTUSDT,JST,USDT,Trading
272,JTOUSDT,JTO,USDT,Trading
273,JUPUSDT,JUP,USDT,Trading
274,JUSDT,J,USDT,Trading
275,KAIAUSDT,KAIA,USDT,Trading
276,KAITOUSDT,KAITO,USDT,Trading
277,KASUSDT,KAS,USDT,Trading
278,KAVAUSDT,KAVA,USDT,Trading
279,KDAUSDT,KDA,USDT,Trading
280,KERNELUSDT,KERNEL,USDT,Trading
281,KMNOUSDT,KMNO,USDT,Trading
282,KNCUSDT,KNC,USDT,Trading
283,KOMAUSDT,KOMA,USDT,Trading
284,KSMUSDT,KSM,USDT,Trading
285,L3USDT,L3,USDT,Trading
286,LAUNCHCOINUSDT,LAUNCHCOIN,USDT,Trading
287,LAUSDT,LA,USDT,Trading
288,LDOUSDT,LDO,USDT,Trading
289,LEVERUSDT,LEVER,USDT,Trading
290,LINKPERP,LINK,USDC,Trading
291,LINKUSDT,LINK,USDT,Trading
292,LISTAUSDT,LISTA,USDT,Trading
293,LOOKSUSDT,LOOKS,USDT,Trading
294,LPTUSDT,LPT,USDT,Trading
295,LQTYUSDT,LQTY,USDT,Trading
296,LRCUSDT,LRC,USDT,Trading
297,LSKUSDT,LSK,USDT,Trading
298,LTCPERP,LTC,USDC,Trading
299,LUMIAUSDT,LUMIA,USDT,Trading
300,LUNA2USDT,LUNA2,USDT,Trading
301,MAGICUSDT,MAGIC,USDT,Trading
302,MAJORUSDT,MAJOR,USDT,Trading
303,MANAUSDT,MANA,USDT,Trading
304,MANTAUSDT,MANTA,USDT,Trading
305,MASAUSDT,MASA,USDT,Trading
306,MASKUSDT,MASK,USDT,Trading
307,MAVIAUSDT,MAVIA,USDT,Trading
308,MAVUSDT,MAV,USDT,Trading
309,MBLUSDT,MBL,USDT,Trading
310,MBOXUSDT,MBOX,USDT,Trading
311,MDTUSDT,MDT,USDT,Trading
312,MELANIAUSDT,MELANIA,USDT,Trading
313,MEMEUSDT,MEME,USDT,Trading
314,MERLUSDT,MERL,USDT,Trading
315,METISUSDT,METIS,USDT,Trading
316,MEUSDT,ME,USDT,Trading
317,MEWUSDT,MEW,USDT,Trading
318,MICHIUSDT,MICHI,USDT,Trading
319,MILKUSDT,MILK,USDT,Trading
320,MINAUSDT,MINA,USDT,Trading
321,MKRUSDT,MKR,USDT,Trading
322,MLNUSDT,MLN,USDT,Trading
323,MNTPERP,MNT,USDC,Trading
324,MNTUSDT,MNT,USDT,Trading
325,MOBILEUSDT,MOBILE,USDT,Trading
326,MOCAUSDT,MOCA,USDT,Trading
327,MOODENGUSDT,MOODENG,USDT,Trading
328,MORPHOUSDT,MORPHO,USDT,Trading
329,MOTHER1USDT,MOTHER1,USDT,Trading
330,MOTHER2USDT,MOTHER2,USDT,Trading
331,MOTHER3USDT,MOTHER3,USDT,Trading
332,MOVEUSDT,MOVE,USDT,Trading
333,MOVRUSDT,MOVR,USDT,Trading
334,MTLUSDT,MTL,USDT,Trading
335,MUBARAKUSDT,MUBARAK,USDT,Trading
336,MVLUSDT,MVL,USDT,Trading
337,MYRIAUSDT,MYRIA,USDT,Trading
338,NCUSDT,NC,USDT,Trading
339,NEARUSDT,NEAR,USDT,Trading
340,NEIROETHUSDT,NEIROETH,USDT,Trading
341,NEOUSDT,NEO,USDT,Trading
342,NFPUSDT,NFP,USDT,Trading
343,NILUSDT,NIL,USDT,Trading
344,NKNUSDT,NKN,USDT,Trading
345,NMRUSDT,NMR,USDT,Trading
346,NOTPERP,NOT,USDC,Trading
347,NOTUSDT,NOT,USDT,Trading
348,NSUSDT,NS,USDT,Trading
349,NTRNUSDT,NTRN,USDT,Trading
350,NXPCUSDT,NXPC,USDT,Trading
351,OBOLUSDT,OBOL,USDT,Trading
352,OBTUSDT,OBT,USDT,Trading
353,OGUSDT,OG,USDT,Trading
354,OKBUSDT,OKB,USDT,Trading
355,OLUSDT,OL,USDT,Trading
356,OMUSDT,OM,USDT,Trading
357,ONDOPERP,ONDO,USDC,Trading
358,ONDOUSDT,ONDO,USDT,Trading
359,ONEUSDT,ONE,USDT,Trading
360,ONGUSDT,ONG,USDT,Trading
361,ONTUSDT,ONT,USDT,Trading
362,OPUSDT,OP,USDT,Trading
363,ORBSUSDT,ORBS,USDT,Trading
364,ORCAUSDT,ORCA,USDT,Trading
365,ORDERUSDT,ORDER,USDT,Trading
366,ORDIPERP,ORDI,USDC,Trading
367,ORDIUSDT,ORDI,USDT,Trading
368,OSMOUSDT,OSMO,USDT,Trading
369,PARTIUSDT,PARTI,USDT,Trading
370,PAXGUSDT,PAXG,USDT,Trading
371,PEAQUSDT,PEAQ,USDT,Trading
372,PENDLEUSDT,PENDLE,USDT,Trading
373,PEOPLEUSDT,PEOPLE,USDT,Trading
374,PERPUSDT,PERP,USDT,Trading
375,PHAUSDT,PHA,USDT,Trading
376,PHBUSDT,PHB,USDT,Trading
377,PIPPINUSDT,PIPPIN,USDT,Trading
378,PIXELUSDT,PIXEL,USDT,Trading
379,PLUMEUSDT,PLUME,USDT,Trading
380,PNUTUSDT,PNUT,USDT,Trading
381,POLPERP,POL,USDC,Trading
382,POLUSDT,POL,USDT,Trading
383,POLYXUSDT,POLYX,USDT,Trading
384,PONKEUSDT,PONKE,USDT,Trading
385,POPCATPERP,POPCAT,USDC,Trading
386,POPCATUSDT,POPCAT,USDT,Trading
387,PORTALUSDT,PORTAL,USDT,Trading
388,POWRUSDT,POWR,USDT,Trading
389,PRAIUSDT,PRAI,USDT,Trading
390,PRCLUSDT,PRCL,USDT,Trading
391,PRIMEUSDT,PRIME,USDT,Trading
392,PROMPTUSDT,PROMPT,USDT,Trading
393,PROMUSDT,PROM,USDT,Trading
394,PUFFERUSDT,PUFFER,USDT,Trading
395,PUMPBTCUSDT,PUMPBTC,USDT,Trading
396,PUNDIXUSDT,PUNDIX,USDT,Trading
397,PYRUSDT,PYR,USDT,Trading
398,PYTHUSDT,PYTH,USDT,Trading
399,QIUSDT,QI,USDT,Trading
400,QNTUSDT,QNT,USDT,Trading
401,QTUMUSDT,QTUM,USDT,Trading
402,QUICKUSDT,QUICK,USDT,Trading
403,RADUSDT,RAD,USDT,Trading
404,RAREUSDT,RARE,USDT,Trading
405,RAYDIUMUSDT,RAYDIUM,USDT,Trading
406,RAYUSDT,RAY,USDT,Trading
407,RDNTUSDT,RDNT,USDT,Trading
408,REDUSDT,RED,USDT,Trading
409,RENDERUSDT,RENDER,USDT,Trading
410,RESOLVUSDT,RESOLV,USDT,Trading
411,REXUSDT,REX,USDT,Trading
412,REZUSDT,REZ,USDT,Trading
413,RFCUSDT,RFC,USDT,Trading
414,RIFUSDT,RIF,USDT,Trading
415,RLCUSDT,RLC,USDT,Trading
416,ROAMUSDT,ROAM,USDT,Trading
417,RONINUSDT,RONIN,USDT,Trading
418,ROSEUSDT,ROSE,USDT,Trading
419,RPLUSDT,RPL,USDT,Trading
420,RSRUSDT,RSR,USDT,Trading
421,RUNEUSDT,RUNE,USDT,Trading
422,SAGAUSDT,SAGA,USDT,Trading
423,SANDUSDT,SAND,USDT,Trading
424,SAROSUSDT,SAROS,USDT,Trading
425,SCAUSDT,SCA,USDT,Trading
426,SDUSDT,SD,USDT,Trading
427,SENDUSDT,SEND,USDT,Trading
428,SERAPHUSDT,SERAPH,USDT,Trading
429,SFPUSDT,SFP,USDT,Trading
430,SHELLUSDT,SHELL,USDT,Trading
431,SHIB1000PERP,SHIB1000,USDC,Trading
432,SHIB1000USDT,SHIB1000,USDT,Trading
433,SIGNUSDT,SIGN,USDT,Trading
434,SIRENUSDT,SIREN,USDT,Trading
435,SKATEUSDT,SKATE,USDT,Trading
436,SKLUSDT,SKL,USDT,Trading
437,SKYAIUSDT,SKYAI,USDT,Trading
438,SLERFUSDT,SLERF,USDT,Trading
439,SLFUSDT,SLF,USDT,Trading
440,SLPUSDT,SLP,USDT,Trading
441,SNTUSDT,SNT,USDT,Trading
442,SNXUSDT,SNX,USDT,Trading
443,SOLAYERUSDT,SOLAYER,USDT,Trading
444,SOLOUSDT,SOLO,USDT,Trading
445,SOLPERP,SOL,USDC,Trading
446,SOLUSDT,SOL,USDT,Trading
447,SOLUSDT-04JUL25,SOL,USDT,Trading
448,SOLUSDT-20JUN25,SOL,USDT,Trading
449,SOLUSDT-25JUL25,SOL,USDT,Trading
450,SOLUSDT-26DEC25,SOL,USDT,Trading
451,SOLUSDT-27JUN25,SOL,USDT,Trading
452,SOLVUSDT,SOLV,USDT,Trading
453,SONICUSDT,SONIC,USDT,Trading
454,SOONUSDT,SOON,USDT,Trading
455,SOPHUSDT,SOPH,USDT,Trading
456,SPECUSDT,SPEC,USDT,Trading
457,SPXUSDT,SPX,USDT,Trading
458,SQDUSDT,SQD,USDT,Trading
459,SSVUSDT,SSV,USDT,Trading
460,STEEMUSDT,STEEM,USDT,Trading
461,STGUSDT,STG,USDT,Trading
462,STORJUSDT,STORJ,USDT,Trading
463,STOUSDT,STO,USDT,Trading
464,STRKPERP,STRK,USDC,Trading
465,STRKUSDT,STRK,USDT,Trading
466,SUIPERP,SUI,USDC,Trading
467,SUIUSDT,SUI,USDT,Trading
468,SUNDOGUSDT,SUNDOG,USDT,Trading
469,SUNUSDT,SUN,USDT,Trading
470,SUPERUSDT,SUPER,USDT,Trading
471,SUSDT,S,USDT,Trading
472,SUSHIUSDT,SUSHI,USDT,Trading
473,SWARMSUSDT,SWARMS,USDT,Trading
474,SWEATUSDT,SWEAT,USDT,Trading
475,SWELLUSDT,SWELL,USDT,Trading
476,SXPUSDT,SXP,USDT,Trading
477,SYNUSDT,SYN,USDT,Trading
478,SYRUPUSDT,SYRUP,USDT,Trading
479,SYSUSDT,SYS,USDT,Trading
480,TAIKOUSDT,TAIKO,USDT,Trading
481,TAIUSDT,TAI,USDT,Trading
482,TAOUSDT,TAO,USDT,Trading
483,THETAUSDT,THETA,USDT,Trading
484,THEUSDT,THE,USDT,Trading
485,TIAPERP,TIA,USDC,Trading
486,TIAUSDT,TIA,USDT,Trading
487,TLMUSDT,TLM,USDT,Trading
488,TOKENUSDT,TOKEN,USDT,Trading
489,TONPERP,TON,USDC,Trading
490,TRBUSDT,TRB,USDT,Trading
491,TRUMPPERP,TRUMP,USDC,Trading
492,TRUMPUSDT,TRUMP,USDT,Trading
493,TRUUSDT,TRU,USDT,Trading
494,TRXUSDT,TRX,USDT,Trading
495,TSTBROKER2USDT,TSTBROKER2,USDT,Trading
496,TSTBROKERUSDT,TSTBROKER,USDT,Trading
497,TSTBSCUSDT,TSTBSC,USDT,Trading
498,TUSDT,T,USDT,Trading
499,TUTUSDT,TUT,USDT,Trading
